"ZCTA5CE10","Observed_SpRich","ChaoEst_SpRich","RarefiedEst_SpRich","Checklists","Year","Observed_SpDiv","ChaoEst_SpDiv","RarefiedEst_SpDiv","Anxiety_Mood_Hosp","black","median_income","Area"
48150,24,30.7027972027972,7.79026501676463,1,2008,9.5108273207183,10.7081977226779,5.84324157846231,9.196550511,0.024762253,65765,31398935.5207355
48158,27,44.9359430604982,8.9332844193357,2,2008,11.6110008252942,12.4984913186559,6.42997187202005,10.69842039,0.002038043,71476,246748387.322906
48161,42,46.8927621861152,8.53566262282643,2,2008,12.7315299778366,13.2071545173437,6.32500100300931,20.92119434,0.044459439,46794,120635643.793301
48162,37,47.1479915433404,11.8547126136726,1,2008,23.0365676187033,28.3028191350008,10.5234787543392,19.9598438,0.027792787,53589,151700417.326184
48164,35,48.9587020648968,7.79033581656526,3,2008,10.437242536127,11.2984778333422,6.00831835456748,8.872832937,0.032497579,58326,76381291.2272976
48167,20,26.2577777777778,11.9255481645725,3,2008,16.7552667769137,23.1354659859369,10.7586109653466,9.726090489,0.041573699,89952,46502687.7878003
48169,24,288.5,17,1,2008,24,344.354866166914,17.0000000000001,8.697169908,0.002810996,77445,162789247.69059
48173,115,125.561473418214,11.8102418508719,25,2008,30.5475231047405,30.7432787710129,10.3980336594302,14.5817828,0.037276151,62940,35775492.9371563
48179,76,82.1194519927536,11.6352656911095,5,2008,27.7951552025345,28.934069291949,10.2297051273307,7.461759743,0.009501188,54993,64229252.3789713
48188,16,47.5492957746479,8.4273671375034,1,2008,10.068968228257,13.1434709193115,7.09359866281721,5.923342518,0.109587741,84191,46684943.0736425
48197,28,70.1171383647799,6.64283024717475,3,2008,7.52966299382114,8.28607877587518,4.82111650318176,17.54700829,0.258532353,51186,111587120.267256
48198,33,41.157396897465,8.86232651254389,4,2008,12.4904675488225,12.7983269149529,6.89249374710605,21.16793202,0.346208651,43580,89095976.2515744
48207,55,67.0985297691373,7.55717377251034,7,2008,10.1967765959279,10.2405507576436,6.14152005854881,8.322197635,0.889579935,23451,16556327.0064265
48217,10,22.2340425531915,6.34911391331305,1,2008,6.18857600565529,7.68177569583791,5.07515238426094,19.91034284,0.723302553,30728,6037784.68082512
48223,73,73,14.3851172620432,57,2008,53.8446420791857,55.4449249096119,13.5821807002616,8.541505573,0.879984317,37440,15654463.6959671
48242,5,5,4.3556175829136,1,2008,3.84358573153395,4.08464286879152,3.57026597817069,NA,0,NA,18367291.0167693
